wavelength,valueA,valueB,valueC,valueD
413.411,1721.15,17721.12,2165.63,626.64
413.772,1706.76,18678.92,2184.52,630.01
414.132,1692.75,19662.79,2199.32,630.67
414.493,1682.82,20702.45,2217.81,635.95
414.853,1674.32,21759.55,2231.29,636.98
415.214,1665.36,22878.48,2243.12,640.56
415.574,1656.34,24051.12,2255.24,640.63
415.934,1646.26,25291.56,2264.33,642.13
416.294,1636.7,26589.35,2274.65,643.01
416.655,1630.48,27919.76,2285.33,644.99
417.015,1620.39,29316.36,2296.01,646.3
417.375,1611.13,30788.11,2310.73,648.7
417.735,1604.24,32259.52,2319.84,651.17
418.095,1596.63,33769.78,2332.29,655.37
418.455,1583.68,35380.15,2345.29,657.02
418.815,1574.14,37045.23,2364.17,659.89
419.175,1563.55,38726.28,2377.72,663.73
419.535,1553.42,40385.7,2391.18,667.99
419.895,1543.78,42057.71,2405.9,672.73
420.255,1536.83,43759.54,2423.11,675.71
420.615,1527.72,45588.43,2442.66,677.03
420.974,1517.33,47167.63,2457.14,679.09
421.334,1506.69,48783.47,2473.2,681.78
421.694,1497.2,50349.43,2491.82,681.42
422.054,1487.58,51961.33,2514.26,682.84
422.413,1483.37,53403.43,2531.94,684.29
422.773,1473.37,54596.71,2542.11,687.23
423.132,1461.5,55739.52,2557.54,689.85
423.492,1451.83,56935.45,2579.47,691.35
423.851,1444.82,57882.62,2595.13,690.87
424.211,1436.1,58752.41,2613.63,693.87
424.57,1428.6,59249.04,2622.85,695.26
424.93,1423.26,59903.37,2642.25,698.42
425.289,1417.96,60368.03,2655.75,702.17
425.648,1414.08,60716.93,2672.94,705.83
426.007,1407.95,60854.89,2686.35,708.43
426.367,1396.69,60909.7,2703.3,712.12
426.726,1389.15,61082.45,2727.51,714.83
427.085,1383.5,60987.94,2748.18,717.97
427.444,1376.99,60772.49,2764.33,720.24
427.803,1369.95,60609.56,2788.56,724.56
428.162,1363.15,60157,2810.12,729.04
428.521,1357.2,59743.57,2835.94,733.83
428.88,1350.88,59044.58,2851.76,738.95
429.239,1342.83,58334.17,2875.63,743.43
429.598,1332.37,57633.92,2897.7,747.73
429.957,1325,56711.29,2917.69,751.64
430.316,1321.6,55754.65,2940.31,754.13
430.674,1316.13,54551.11,2959.04,753.14
431.033,1311.74,53410.05,2979.92,755.06
431.392,1306.49,52266.49,3009.81,757.2
431.75,1301.92,50931.06,3033.82,759.14
432.109,1294.73,49703.06,3063.43,760.97
432.468,1286.01,48403.61,3089.01,761.52
432.826,1276.74,47134.53,3122.68,761.68
433.185,1267.21,45801.06,3150.95,760.13
433.543,1260.24,44380.89,3186.45,761.94
433.901,1252.85,43118.51,3223.41,762.69
434.26,1245.48,41778.44,3256.93,765.03
434.618,1235.97,40558.24,3290.84,771.3
434.977,1226.81,39366.91,3336.85,770.64
435.335,1217.25,38025.25,3374.36,774.23
435.693,1204.32,36854.38,3419.73,780.48
436.051,1194.51,35677.69,3461.81,783.74
436.409,1185.37,34508.8,3511.08,788.75
436.767,1177.89,33400.27,3558.63,789.79
437.126,1173.63,32279.64,3607.2,795.46
437.484,1167.54,31223.8,3652.59,795.37
437.842,1159.55,30164.14,3698.51,798.68
438.2,1148.32,29191.35,3753.27,800.6
438.558,1143.4,28267.36,3817.24,799.59
438.915,1136.23,27273.14,3868.3,802.92
439.273,1130.16,26376.99,3925.56,805.04
439.631,1126.56,25438.41,3987.46,801.97
439.989,1124.38,24550.24,4050.3,804.35
440.347,1122.13,23726.93,4119.01,806.71
440.704,1115.4,22946.33,4187.5,810.99
441.062,1107.63,22229.4,4263.25,811.85
441.42,1099.38,21531.88,4346.07,818.25
441.777,1091.59,20922.78,4441.79,819.34
442.135,1084.6,20301.61,4536.63,820.11
442.492,1078.64,19700.34,4633.54,824.76
442.85,1071.58,19157.22,4730.94,827.57
443.207,1066.41,18598.63,4827.78,830.7
443.564,1058.01,18056.96,4923.79,833.52
443.922,1051.03,17534.84,5033.1,835.77
444.279,1043.05,17019.43,5126.86,838.77
444.636,1037.51,16559.96,5242.97,841.03
444.994,1032.37,16102.56,5366.65,842.44
445.351,1027.78,15616.3,5477.95,845.09
445.708,1024.86,15141.64,5597.15,849.52
446.065,1023.54,14692.87,5722.19,852.46
446.422,1016.37,14245.05,5860.96,854.26
446.779,1012.64,13846.26,6016.72,858.59
447.136,1006.97,13455.96,6193.16,861.63
447.493,1006.35,13091.1,6369.53,864.15
447.85,1000.39,12721.53,6555.21,864.46
448.207,995.27,12360.6,6761.57,866.95
448.564,992.91,12002.91,6980.64,869.91
448.921,988.1,11633.98,7195.8,870.46
449.278,984.73,11317.69,7449.2,870.77
449.634,981.44,10988.95,7712.91,873.31
449.991,975.04,10650.27,7976.68,876.29
450.348,971.95,10338.24,8260.89,880.1
450.704,969.24,10023.34,8570.12,882.91
451.061,964.93,9730.84,8896.03,881.87
451.417,956.66,9438.55,9238.82,884.94
451.774,950.77,9147.51,9580.33,888.22
452.13,946.53,8877.34,9949.95,889.11
452.487,941.41,8594.37,10314.12,893.43
452.843,935.74,8344.58,10709.05,897.56
453.199,931.44,8087.96,11095.53,900.32
453.556,924.55,7837.34,11488.04,900.93
453.912,921.05,7614.83,11922.84,901.15
454.268,917.16,7388.17,12374.15,901.99
454.624,910.56,7157.78,12794.21,901.44
454.981,905.56,6936.11,13222.4,906.83
455.337,903.3,6726.29,13648.62,907.58
455.693,901.21,6527.43,14097.98,908.75
456.049,896.66,6332.04,14565.62,910.84
456.405,892.05,6156.77,15057.77,909.85
456.761,888.85,5994.19,15599.53,913.11
457.117,886.58,5837.24,16153.93,914.44
457.473,882.98,5692.09,16720.4,915.78
457.829,878.15,5550.14,17291.41,918.85
458.184,873.52,5403.03,17845.57,921.81
458.54,868.44,5269.34,18413.45,926
