wavelength,valueA,valueB,valueC,valueD
586.699,390.01,717.08,1178.61,1390.33
587.039,388.62,716.44,1174.26,1381.74
587.38,386.64,713.93,1171.04,1369.06
587.72,385,710.88,1166.01,1357.16
588.06,386.5,710.79,1161.29,1349.82
588.4,385.29,710.68,1159.3,1337.77
588.741,385.34,709.07,1157.12,1329.45
589.081,384.83,705.32,1153.5,1320.29
589.421,384.54,702.19,1148.44,1309.41
589.761,380.72,702.8,1144.1,1296.75
590.101,379.8,702.12,1142.38,1287.04
590.441,376.53,698.44,1138.74,1276.49
590.781,377.77,697.22,1135.49,1269.23
591.121,377.1,696.45,1130.26,1261.99
591.461,378.1,697.29,1125.96,1254.89
591.8,375.78,694.09,1122.14,1244.19
592.14,376.11,691.15,1115.5,1235.12
592.48,375.85,688.7,1110.51,1224.75
592.82,377.46,691.02,1109.85,1214.33
593.159,376.13,693.05,1106.25,1207.47
593.499,378.45,691.84,1102.02,1202.24
593.838,378.25,688.73,1100.65,1194.43
594.178,379.86,690.49,1098.27,1185.65
594.517,379.05,687.93,1092.53,1173.67
594.857,379.16,687.03,1089.46,1165.04
595.196,376.97,684.51,1086.22,1156.52
595.535,376.95,681.71,1086.68,1150.61
595.875,375.23,679.11,1085.29,1145.47
596.214,375.6,676.99,1079.53,1140.32
596.553,373.64,674.1,1075.03,1133.84
596.892,373.91,671.05,1070.75,1127.57
597.231,373.6,668.16,1067.07,1118.74
597.57,375.78,665.82,1062.15,1111.97
597.909,375.94,660.04,1056.17,1105.39
598.248,375.54,657.55,1056.45,1101.09
598.587,373.99,657.26,1055.35,1096.5
598.926,373.44,654.35,1052.19,1088.93
599.265,371.83,654.41,1048.38,1081.01
599.604,370.11,654.08,1043.12,1074.83
599.942,369.27,654.64,1040.98,1068.61
600.281,368.9,652.3,1035.47,1063.73
600.62,369.23,650.71,1032.62,1056.47
600.958,367.11,647.33,1029.69,1049.83
601.297,363.23,647.29,1023.88,1041.4
601.635,361.68,647.53,1019.69,1035.31
601.974,359.14,644.33,1014.59,1031.32
602.312,358.08,641.79,1008.79,1024.94
602.651,358.97,641.79,1004.49,1022.14
602.989,360.22,639.54,997.93,1015.87
603.327,361.9,639.32,996.19,1011
603.665,360.78,636.7,992.35,1006.21
604.004,360.25,635.17,990.67,1002.55
604.342,360.29,634.82,986.79,998.4
604.68,361.61,634.64,984.81,994.71
605.018,363.2,635.04,982.09,991.56
605.356,363.93,636.23,980.33,986.97
605.694,365.19,636.59,977.92,979.44
606.032,363.95,635.88,974.43,973.75
606.37,361.42,633.98,971.19,968.48
606.708,360.95,632.86,966.73,964.97
607.045,361.28,630.3,961.7,958.55
607.383,361,629.81,957.66,952.04
607.721,360.91,628.75,952.52,944.76
608.058,360.51,626.28,947.6,939.15
608.396,360.09,624.05,941.07,934.01
608.734,359.67,621.1,937.83,928.34
609.071,357.09,620.12,931.05,921.59
609.409,355.63,616.77,927.46,920.02
609.746,356.65,613.35,923.35,916.03
610.083,355.19,612.76,920.33,914.24
610.421,354.91,610.11,918.19,909.96
610.758,354.6,607.9,915.3,904.4
611.095,355.35,603.77,912.78,898.13
611.433,355.08,605.03,912.76,895.51
611.77,353.08,604.46,911.24,889.44
612.107,352.68,604.88,911,885.66
612.444,351.4,602.47,907.99,883.46
612.781,351.22,599.32,909.1,880.96
613.118,350.74,602.27,906.08,872.36
613.455,350.12,605.03,904.09,869.25
613.792,350.07,604.15,901.51,863.69
614.129,349.43,604.79,899.83,859.23
614.465,347.71,604.86,897.89,857.8
614.802,346.65,605.21,894.91,855.35
615.139,343.87,602.52,890.28,849.81
615.475,341.95,600.82,889.7,847.38
615.812,340.9,598.39,884.36,845.26
616.149,339.53,597.88,881.49,842.57
616.485,339.13,596.27,878.69,840.1
616.822,340.96,594.46,876.95,839.81
617.158,339.02,589.03,874.43,837.05
617.494,339.73,586.74,870.33,830.65
617.831,338.29,586.59,867.37,827.28
618.167,339.09,585.64,866.11,825.49
618.503,337.01,585.95,866.31,824.94
618.84,338.47,585.31,863.91,823.09
619.176,337.98,585,861.26,821.17
619.512,338.98,585.99,860.69,818.08
619.848,339.9,584.93,858.55,814.57
620.184,339.22,585.53,856.71,811.04
620.52,338.53,585.35,853.34,809.96
620.856,339.26,587.05,850.18,805.39
